,number,value,datetime_start,datetime_complete,duration,params_batch_size,params_clip_range,params_ent_coef,params_gae_lambda,params_gamma,params_learning_rate,params_max_grad_norm,params_n_epochs,params_n_steps,params_vf_coef,state
86,86,-47.0,2022-03-08 21:23:32.116797,2022-03-08 21:24:23.743795,0 days 00:00:51.626998,64,0.2,0.00043049019129396565,0.95,0.95,7.957651234910761e-05,1.0,10,2048,0.9092966742091112,PRUNED
87,87,-47.0,2022-03-08 21:23:37.963796,2022-03-08 21:24:31.212796,0 days 00:00:53.249000,64,0.2,0.00048549557754731635,0.95,0.95,8.060323061535118e-05,0.7,10,2048,0.9103347721082848,PRUNED
88,88,-28.333333333333332,2022-03-08 21:23:52.025795,2022-03-08 21:25:50.882796,0 days 00:01:58.857001,64,0.1,0.0005126360714781378,0.95,0.9,7.931165791858665e-05,0.7,20,2048,0.9145398847751229,COMPLETE
89,89,-56.0,2022-03-08 21:24:23.744796,2022-03-08 21:26:18.218796,0 days 00:01:54.474000,64,0.1,0.00015013889640154521,0.99,0.9999,0.00015701470417726397,2.0,20,2048,0.9687662809109336,COMPLETE
90,90,-47.0,2022-03-08 21:24:31.213797,2022-03-08 21:25:24.163797,0 days 00:00:52.950000,64,0.1,0.0002864759142893408,0.99,0.9999,0.00015008769468302893,2.0,20,512,0.7627486311681777,PRUNED
91,91,-49.0,2022-03-08 21:25:24.165796,2022-03-08 21:26:14.998796,0 days 00:00:50.833000,64,0.2,0.00014720636175255777,0.8,0.9,0.00013883287670719976,0.5,1,2048,0.9660394185064374,PRUNED
92,92,-51.666666666666664,2022-03-08 21:25:50.884796,2022-03-08 21:27:49.116795,0 days 00:01:58.231999,64,0.1,0.0009596799941909791,0.95,0.9,0.00013553334440124002,0.7,1,512,0.9630538922328933,COMPLETE
93,93,-57.333333333333336,2022-03-08 21:26:15.000795,2022-03-08 21:27:07.484796,0 days 00:00:52.484001,64,0.1,0.0005479521701074836,0.95,0.9,0.00011139255000841286,0.7,20,2048,0.6784074788154992,PRUNED
94,94,-56.0,2022-03-08 21:26:18.221796,2022-03-08 21:27:08.870796,0 days 00:00:50.649000,64,0.1,0.0006734937566378296,0.95,0.9,0.00011359508916589109,0.7,20,2048,0.8790794766251224,PRUNED
95,95,-47.0,2022-03-08 21:27:07.486796,2022-03-08 21:27:59.595795,0 days 00:00:52.108999,64,0.1,0.0007885938887187609,0.95,0.9,9.425556726711423e-05,0.7,20,2048,0.9368091230716163,PRUNED
96,96,-54.0,2022-03-08 21:27:08.872796,2022-03-08 21:27:59.197796,0 days 00:00:50.325000,128,0.1,0.0007769682640744957,0.95,0.999,9.409219721709538e-05,0.7,20,64,0.8383744095530137,PRUNED
97,97,-30.333333333333332,2022-03-08 21:27:49.119796,2022-03-08 21:29:47.279795,0 days 00:01:58.159999,64,0.2,0.00023338566549557885,0.92,0.999,8.904471944770772e-05,0.9,20,64,0.9226003240985232,COMPLETE
98,98,-56.666666666666664,2022-03-08 21:27:59.199796,2022-03-08 21:28:49.861796,0 days 00:00:50.662000,64,0.2,0.0003503692560289491,0.8,0.95,2.0531832231904935e-05,0.9,20,2048,0.9335195043617557,PRUNED
99,99,-51.0,2022-03-08 21:27:59.596795,2022-03-08 21:29:56.995796,0 days 00:01:57.399001,64,0.2,0.00023573501478110092,0.92,0.8,2.415314292022029e-05,0.9,5,128,0.9164388347125015,COMPLETE
100,100,-48.666666666666664,2022-03-08 21:28:49.862796,2022-03-08 21:29:40.063796,0 days 00:00:50.201000,64,0.2,0.00023972745793940332,0.92,0.95,7.184396962210966e-05,1.0,5,128,0.0009778336524257636,PRUNED
101,101,-52.333333333333336,2022-03-08 21:29:40.065795,2022-03-08 21:32:23.657796,0 days 00:02:43.592001,32,0.2,0.0003968128231697116,0.99,0.95,8.331063544614782e-05,5.0,10,512,0.8478516911773413,COMPLETE
