#{"t_start": 1646340729.9578292, "env_id": "wordle-v0"}
r,l,t
-6,9,29.431659
28,7,29.46291
29,2,29.478535
27,3,29.49416
25,1,29.49416
41,3,29.509783
-7,8,29.541033
33,4,29.556661
27,2,29.556661
31,3,29.572285
32,5,29.587908
29,11,29.619158
32,4,29.634785
45,10,29.666034
27,2,29.68166
33,3,29.68166
30,6,29.697284
36,12,29.744157
29,7,29.759784
25,1,29.759784
25,1,29.759784
25,1,29.77541
44,10,30.634784
27,3,30.650408
45,5,30.666034
33,7,30.681661
35,4,30.697283
39,8,30.728533
41,6,30.744159
33,4,30.759784
24,9,30.775423
36,8,30.822285
27,2,30.822285
36,8,30.853533
26,4,30.882794
32,9,30.895868
23,11,30.942746
25,1,30.942746
33,3,30.942746
32,10,30.973996
28,8,31.005245
2,9,31.036495
27,2,31.036495
37,14,31.08337
25,18,31.161495
33,9,31.192744
37,4,31.223993
29,3,31.223993
31,3,31.239619
25,1,31.239619
-16,19,31.302121
-10,11,31.333369
25,1,31.333369
29,6,31.364618
29,2,31.364618
31,4,31.380245
29,3,31.395869
43,10,31.442745
31,3,31.458368
32,5,31.473996
29,3,31.48962
39,3,31.505245
31,14,32.505246
28,4,32.520871
29,6,32.536496
37,10,32.567743
22,17,32.614619
33,3,32.614619
46,7,32.630242
29,3,32.64587
35,4,32.661494
40,9,32.67712
33,16,32.708368
30,6,32.723993
34,6,32.739619
35,5,32.755243
25,1,32.770869
40,8,32.786496
34,7,32.802118
36,11,32.83337
30,10,32.86462
18,23,32.927119
33,3,32.942746
45,10,32.973993
25,1,32.973993
31,3,32.973993
31,2,32.989619
-9,12,33.020868
31,6,33.020868
37,8,33.036496
25,1,33.052118
27,13,33.083371
29,12,33.11462
25,1,33.11462
27,2,33.11462
27,2,33.11462
25,1,33.130245
27,2,33.130245
31,3,33.130245
31,5,33.145868
25,2,33.145868
35,6,33.880247
37,7,33.895868
37,12,33.927119
25,2,33.927119
26,17,33.973995
25,1,33.973995
30,8,33.989626
26,6,34.005245
30,5,34.02087
30,5,34.036496
37,8,34.05212
31,9,34.08337
25,5,34.098993
33,5,34.098993
42,13,34.145868
27,3,34.145868
-6,11,34.177118
25,1,34.177118
35,7,34.192743
33,3,34.208369
27,2,34.208369
31,6,34.223993
