#{"t_start": 1646848340.6345458, "env_id": "wordle-v0"}
r,l,t
-2,30,154.801056
-11,30,154.830051
-36,30,154.861051
16,30,154.892056
11,30,154.922051
5,30,154.95505
-14,30,154.98605
-13,30,155.01905
18,30,155.05105
42,30,155.080051
7,30,155.110052
6,30,155.137051
11,30,155.18505
-41,30,155.214051
-6,30,155.243051
26,30,155.27205
7,30,155.305056
4,30,155.334052
19,30,155.36305
-11,30,155.393051
-27,30,155.425052
26,30,155.45405
-22,30,155.487051
28,30,155.518052
9,30,155.55005
9,30,155.58305
10,30,155.61505
-18,30,155.64705
-19,30,155.68005
-8,30,155.713051
-33,30,155.74505
-21,30,155.77305
-21,30,155.80605
-6,30,155.838051
5,30,155.871051
-2,30,155.90405
7,30,155.93705
-32,30,155.968052
14,30,155.99805
24,30,156.026051
31,30,156.05905
8,30,156.09005
24,30,156.122051
-39,30,156.14805
-67,30,156.177052
17,30,161.556051
-24,30,161.60005
-22,30,161.64605
0,30,161.69205
5,30,161.730051
-6,30,161.757051
19,30,161.78505
18,30,161.816051
-3,30,161.84605
-3,30,161.87205
21,30,161.90205
5,30,161.931052
0,30,161.95905
36,30,161.990051
-8,30,162.021051
-7,30,162.05405
-13,30,162.08705
38,30,162.12005
-11,30,162.15305
-16,30,162.18105
-12,30,162.214051
12,30,162.247051
44,30,162.280051
-8,30,162.31205
26,30,162.34405
6,30,162.38705
24,30,162.439091
-27,30,162.476051
-5,30,162.519051
7,30,162.553051
0,30,162.586058
-29,30,162.621089
3,30,162.661051
-16,30,162.731051
16,30,162.779072
7,30,162.80705
-14,30,162.837051
-36,30,162.869051
39,30,162.908051
-20,30,162.941072
1,30,162.97908
-17,30,163.012051
8,30,163.046051
-7,30,163.077052
-14,30,163.110054
-13,30,163.14205
18,30,163.17505
-41,30,163.207052
3,30,163.240052
-39,30,163.270051
30,30,163.326052
5,30,163.380051
5,30,163.432055
-25,30,163.46105
-3,30,163.49305
8,30,163.52605
15,30,163.554051
22,30,163.587054
0,30,163.61605
45,30,163.64305
40,30,163.675051
-16,30,163.70805
18,30,163.740051
-9,30,163.76805
-75,30,163.80105
2,30,163.83205
27,30,163.876051
15,30,163.953051
-24,30,170.10505
-31,30,170.14405
-16,30,170.177051
57,30,170.210051
24,30,170.250051
7,30,170.289051
33,30,170.323056
31,30,170.35105
-45,30,170.381051
