,number,value,datetime_start,datetime_complete,duration,params_batch_size,params_clip_range,params_ent_coef,params_gae_lambda,params_gamma,params_learning_rate,params_max_grad_norm,params_n_epochs,params_n_steps,params_vf_coef,state
107,107,0.6666666666666666,2022-03-07 02:34:54.386100,2022-03-07 02:36:52.536756,0 days 00:01:58.150656,32,0.1,0.004958095979309897,0.9,0.995,0.00028543695600490623,5.0,20,128,0.6876576370531422,COMPLETE
108,108,13.0,2022-03-07 02:36:52.536756,2022-03-07 02:37:17.102608,0 days 00:00:24.565852,128,0.2,0.0014802230246291452,0.95,0.999,1.5471269024289507e-05,0.3,10,256,0.6418647732661668,PRUNED
109,109,0.3333333333333333,2022-03-07 02:37:17.102608,2022-03-07 02:37:40.020400,0 days 00:00:22.917792,64,0.1,0.00032305076002231084,0.99,0.995,1.2630279812727292e-05,1.0,5,2048,0.37033063230730917,PRUNED
110,110,1.6666666666666667,2022-03-07 02:37:40.020400,2022-03-07 02:37:59.049324,0 days 00:00:19.028924,256,0.4,0.0006709328197273841,0.98,0.99,0.00015041252160549076,0.7,1,1024,0.28208394895338335,PRUNED
111,111,3.3333333333333335,2022-03-07 02:38:00.243517,2022-03-07 02:39:59.332226,0 days 00:01:59.088709,32,0.2,0.0005444278326224361,0.92,0.9,2.0525312932059183e-05,2.0,20,256,0.8214816441846675,COMPLETE
112,112,-1.3333333333333333,2022-03-07 02:39:59.332226,2022-03-07 02:40:19.844590,0 days 00:00:20.512364,512,0.3,0.00022741387756574304,0.95,0.999,5.7421301195808045e-05,0.3,10,2048,0.1524538002614228,PRUNED
113,113,5.0,2022-03-07 02:40:19.844590,2022-03-07 02:41:18.206044,0 days 00:00:58.361454,32,0.2,0.0003881020974525896,0.92,0.9,1.937344007806297e-05,2.0,20,256,0.8218079190634138,PRUNED
114,114,0.0,2022-03-07 02:41:18.206044,2022-03-07 02:42:16.847848,0 days 00:00:58.641804,32,0.2,0.0005331272632410069,0.92,0.9,9.893433715726021e-05,2.0,20,256,0.8626802201660637,PRUNED
115,115,8.0,2022-03-07 02:42:16.847848,2022-03-07 02:43:15.706076,0 days 00:00:58.858228,32,0.2,0.0002854874224693248,0.92,0.9,2.2793470798917538e-05,2.0,20,256,0.7546377646213697,PRUNED
116,116,7.333333333333333,2022-03-07 02:43:15.706076,2022-03-07 02:44:14.517626,0 days 00:00:58.811550,32,0.2,0.0004961177788429236,0.92,0.9,2.159084056328447e-05,2.0,20,256,0.8903910782464225,PRUNED
117,117,-0.3333333333333333,2022-03-07 02:44:14.517626,2022-03-07 02:45:13.252152,0 days 00:00:58.734526,32,0.2,0.004059861288375829,0.99,0.95,7.290308902246334e-05,1.0,20,64,0.8507942707889368,PRUNED
