,number,value,datetime_start,datetime_complete,duration,params_activation_fn,params_batch_size,params_clip_range,params_ent_coef,params_gae_lambda,params_gamma,params_learning_rate,params_max_grad_norm,params_n_epochs,params_n_steps,params_net_arch,params_vf_coef,state
75,75,-6.0,2022-03-07 15:35:03.367423,2022-03-07 15:36:32.451047,0 days 00:01:29.083624,,32,0.1,0.004872269925388973,1.0,0.95,8.12594061855292e-05,0.7,10,128,,0.33014236929992746,COMPLETE
76,76,5.666666666666667,2022-03-07 15:36:32.451047,2022-03-07 15:37:06.244065,0 days 00:00:33.793018,,256,0.2,0.0006668739321547294,0.9,0.999,6.67623754830208e-05,0.9,10,64,,0.6349297807304871,PRUNED
77,77,0.0,2022-03-07 15:37:06.244065,2022-03-07 15:37:52.375049,0 days 00:00:46.130984,,512,0.2,0.000942322664194135,0.8,0.99,1.3074726761881558e-05,1.0,5,1024,,0.5318325844621876,COMPLETE
78,78,-2.0,2022-03-07 15:37:52.390675,2022-03-07 15:38:25.863735,0 days 00:00:33.473060,,64,0.3,0.0020417197482077176,0.99,0.9,1.4674179721155098e-05,0.3,10,256,,0.4217447199410668,PRUNED
79,79,11.333333333333334,2022-03-07 15:38:25.863735,2022-03-07 15:39:10.305124,0 days 00:00:44.441389,,256,0.1,0.0015983359290632595,1.0,0.99,1.661609378075425e-05,5.0,1,128,,0.9600520438318411,COMPLETE
80,80,10.666666666666666,2022-03-07 15:39:10.305124,2022-03-07 15:39:32.207861,0 days 00:00:21.902737,,256,0.1,0.0016329273775188753,1.0,0.999,1.6121786611480925e-05,5.0,1,128,,0.9595302899760368,PRUNED
81,81,0.6666666666666666,2022-03-07 15:39:32.207861,2022-03-07 15:39:54.102292,0 days 00:00:21.894431,,256,0.1,0.0013055688383212976,1.0,0.99,2.0738544076685452e-05,5.0,1,128,,0.8128577361910738,PRUNED
82,82,-0.3333333333333333,2022-03-07 15:39:54.102292,2022-03-07 15:40:15.804131,0 days 00:00:21.701839,,256,0.1,0.0012130118079838675,1.0,0.99,2.3823993872127262e-05,5.0,1,128,,0.8655866733260833,PRUNED
83,83,4.0,2022-03-07 15:40:17.022883,2022-03-07 15:40:38.810234,0 days 00:00:21.787351,,256,0.1,0.0015194874378909222,1.0,0.99,1.6932483424851978e-05,5.0,1,128,,0.9004105429835417,PRUNED
84,84,4.0,2022-03-07 15:40:38.810234,2022-03-07 15:42:09.046512,0 days 00:01:30.236278,,32,0.2,0.0018346825808877064,0.99,0.99,1.1545018686589721e-05,0.7,10,512,,0.6945932967831202,COMPLETE
85,85,3.6666666666666665,2022-03-07 15:42:09.046512,2022-03-07 15:42:31.686276,0 days 00:00:22.639764,,256,0.1,0.002270058308237785,1.0,0.99,7.216960501352246e-05,2.0,1,64,,0.9266381898994686,PRUNED
86,86,5.666666666666667,2022-03-07 15:42:31.686276,2022-03-07 15:42:58.181594,0 days 00:00:26.495318,,512,0.2,0.0032597454082305554,0.9,0.999,6.141067337087956e-05,0.9,20,1024,,0.9697202616313583,PRUNED
87,87,-1.3333333333333333,2022-03-07 15:42:58.181594,2022-03-07 15:43:26.108257,0 days 00:00:27.926663,,256,0.4,0.002860381580948249,0.92,0.99,1.8883077216780047e-05,1.0,10,128,,0.999341092398184,PRUNED
88,88,-0.6666666666666666,2022-03-07 15:43:26.108257,2022-03-07 15:43:52.783937,0 days 00:00:26.675680,,64,0.2,0.0009004198519110973,1.0,0.9999,0.00010622058357204612,0.3,5,1024,,0.7634865916681955,PRUNED
89,89,4.666666666666667,2022-03-07 15:43:52.783937,2022-03-07 15:44:19.516721,0 days 00:00:26.732784,,128,0.1,0.009019821026515872,0.95,0.995,4.808752618495966e-05,0.5,10,2048,,0.18591697828818715,PRUNED
90,90,-0.3333333333333333,2022-03-07 15:44:19.516721,2022-03-07 15:44:47.895447,0 days 00:00:28.378726,,512,0.2,0.0076523254779270605,0.99,0.95,3.610821675162572e-05,0.9,10,128,,0.36606341564824324,PRUNED
91,91,19.0,2022-03-07 15:44:47.895447,2022-03-07 15:45:56.579225,0 days 00:01:08.683778,,256,0.2,0.0069192743551725385,0.95,0.995,4.390818198971143e-05,0.5,10,64,,0.31243863447037923,COMPLETE
92,92,0.3333333333333333,2022-03-07 15:45:56.579225,2022-03-07 15:46:30.474261,0 days 00:00:33.895036,,256,0.2,0.006830853947172972,0.98,0.995,4.235923003568525e-05,0.5,10,64,,0.27132355827963495,PRUNED
93,93,8.333333333333334,2022-03-07 15:46:31.755513,2022-03-07 15:47:05.636740,0 days 00:00:33.881227,,256,0.2,0.009300046977653032,0.95,0.995,2.7148993885763598e-05,0.5,10,64,,0.3047843632471632,PRUNED
94,94,4.666666666666667,2022-03-07 15:47:05.636740,2022-03-07 15:47:43.800272,0 days 00:00:38.163532,,256,0.2,0.0008023937641522942,1.0,0.99,5.109488684933718e-05,0.7,10,64,,0.48593109382366717,PRUNED
95,95,10.0,2022-03-07 15:47:43.800272,2022-03-07 15:48:40.273116,0 days 00:00:56.472844,,32,0.2,0.007882275129899474,0.95,0.995,8.273351178539802e-05,0.5,10,64,,0.9391988161892623,PRUNED
96,96,2.0,2022-03-07 15:48:40.273116,2022-03-07 15:49:10.656775,0 days 00:00:30.383659,,256,0.3,0.006261981396240529,0.95,0.995,2.966460742392006e-05,0.5,5,2048,,0.401747821908869,PRUNED
97,97,2.3333333333333335,2022-03-07 15:49:10.656775,2022-03-07 15:49:43.845363,0 days 00:00:33.188588,,512,0.2,0.005124120268064453,0.8,0.999,5.697638361508102e-05,1.0,10,1024,,0.34506300327233275,PRUNED
98,98,-1.3333333333333333,2022-03-07 15:49:43.845363,2022-03-07 15:50:15.575952,0 days 00:00:31.730589,,128,0.2,0.001071499282098231,0.95,0.995,3.513805751477068e-05,0.5,1,512,,0.10769316152486368,PRUNED
99,99,3.6666666666666665,2022-03-07 15:50:15.575952,2022-03-07 15:50:52.925049,0 days 00:00:37.349097,,256,0.1,0.009827952434466497,0.9,0.995,4.322204936053083e-05,0.5,10,128,,0.47852483806665463,PRUNED
100,100,11.666666666666666,2022-03-07 15:50:52.925049,2022-03-07 15:51:51.419581,0 days 00:00:58.494532,,32,0.2,0.0071171735781459895,0.99,0.999,2.2368263905172224e-05,5.0,10,256,,0.22475797292421767,PRUNED
101,101,9.333333333333334,2022-03-07 15:51:51.419581,2022-03-07 15:52:32.876066,0 days 00:00:41.456485,,64,0.2,0.005746163068348346,1.0,0.99,6.207072511623574e-05,0.5,10,1024,,0.3242154935583529,PRUNED
102,102,11.0,2022-03-07 15:52:32.876066,2022-03-07 15:53:15.597855,0 days 00:00:42.721789,,64,0.2,0.004088485885218652,0.95,0.9,9.200290946456037e-05,0.9,10,64,,0.37573978456999746,PRUNED
103,103,-2.0,2022-03-07 15:53:17.191606,2022-03-07 15:53:46.794291,0 days 00:00:29.602685,,512,0.2,0.0043731176289019975,1.0,0.99,7.369129387088342e-05,1.0,10,512,,0.43363061010263804,PRUNED
104,104,4.666666666666667,2022-03-07 15:53:46.794291,2022-03-07 15:54:21.763731,0 days 00:00:34.969440,,128,0.2,0.008324682865617597,1.0,0.995,5.153722292933468e-05,0.3,10,128,,0.26507731054925,PRUNED
105,105,8.333333333333334,2022-03-07 15:54:21.763731,2022-03-07 15:54:50.636354,0 days 00:00:28.872623,,256,0.2,0.006317069216760079,0.99,0.99,1.2049390362603627e-05,2.0,5,2048,,0.9079137671256617,PRUNED
